"machine_event_id","machine_id","machine_code","machine_name","started_at","temperature","vibration","pressure","rpm","power","humidity","is_breakdown"
23,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-19 05:58:00.000 +0300,72.585747,2.870208,,2610.656186,1.251465,,0
24,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-19 08:32:00.000 +0300,82.916760,2.449862,,2627.803726,1.328648,,0
25,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-21 18:17:00.000 +0300,82.916760,2.449862,,2627.803726,1.328648,,0
26,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-21 17:57:00.000 +0300,82.916760,2.449862,,2627.803726,1.328648,,0
27,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-21 20:34:00.000 +0300,68.806273,2.212802,,2363.799421,1.344628,,0
28,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 07:25:00.000 +0300,68.806273,2.212802,,2363.799421,1.344628,,0
29,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 07:00:00.000 +0300,68.806273,2.212802,,2363.799421,1.344628,,0
30,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 09:49:00.000 +0300,72.614722,2.917120,,2606.837816,1.220227,,0
31,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 12:22:00.000 +0300,72.614722,2.917120,,2606.837816,1.220227,,0
32,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 11:59:00.000 +0300,72.614722,2.917120,,2606.837816,1.220227,,0
33,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 15:25:00.000 +0300,59.163436,2.169887,,1981.116942,1.213017,,0
34,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 15:20:00.000 +0300,69.484808,2.210382,,2813.515332,1.298181,,0
35,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 15:02:00.000 +0300,77.174130,2.029157,,2562.519650,1.307188,,0
36,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-27 16:12:00.000 +0300,69.617186,2.198361,,2553.252593,1.500262,,0
37,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-30 09:43:00.000 +0300,69.617186,2.198361,,2553.252593,1.500262,,0
38,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-30 09:21:00.000 +0300,69.617186,2.198361,,2553.252593,1.500262,,0
39,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-01-30 10:47:00.000 +0300,73.923670,2.680388,,2443.121160,1.374665,,0
40,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-05 13:18:00.000 +0300,73.923670,2.680388,,2443.121160,1.374665,,0
41,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-05 12:55:00.000 +0300,73.923670,2.680388,,2443.121160,1.374665,,0
42,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-05 14:14:41.501 +0300,64.568928,2.481983,,2281.394307,1.267684,,1
43,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-05 15:38:00.000 +0300,73.384552,3.008769,,2701.457545,1.435809,,0
44,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-09 10:01:00.000 +0300,73.384552,3.008769,,2701.457545,1.435809,,0
45,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-09 09:36:00.000 +0300,73.384552,3.008769,,2701.457545,1.435809,,0
46,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-09 12:43:00.000 +0300,70.121910,2.006273,,2430.393282,1.304428,,0
47,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 07:20:00.000 +0300,70.121910,2.006273,,2430.393282,1.304428,,0
48,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 06:57:00.000 +0300,70.121910,2.006273,,2430.393282,1.304428,,0
49,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 08:53:00.000 +0300,66.325577,2.444887,,2379.835623,1.158122,,0
50,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 08:48:00.000 +0300,68.610941,2.236025,,2523.426584,1.371780,,0
51,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 08:44:00.000 +0300,63.919494,2.253792,,2428.321864,1.303669,,0
52,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 09:54:00.000 +0300,59.667335,2.324248,,2100.079909,1.206383,,0
53,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 09:49:00.000 +0300,71.860875,2.148587,,2551.264561,1.378940,,0
54,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 09:44:00.000 +0300,70.016720,2.629699,,2607.141622,1.299905,,0
55,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 12:26:00.000 +0300,64.254279,2.694968,,1672.361146,1.103149,,0
56,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 12:21:00.000 +0300,70.286161,3.124896,,2614.004060,1.291887,,0
57,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 12:04:00.000 +0300,59.476301,2.350805,,2833.112799,1.316124,,0
58,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 13:19:31.810 +0300,69.550099,1.955535,,2838.940373,1.294802,,1
59,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-13 14:09:00.000 +0300,73.623203,1.893986,,2423.423968,1.323093,,0
60,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-14 14:11:00.000 +0300,73.623203,1.893986,,2423.423968,1.323093,,0
61,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-14 14:02:00.000 +0300,73.623203,1.893986,,2423.423968,1.323093,,0
62,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-14 16:11:00.000 +0300,66.098341,2.935713,,2230.019298,1.379999,,0
63,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-20 08:47:00.000 +0300,66.098341,2.935713,,2230.019298,1.379999,,0
64,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-20 08:24:00.000 +0300,66.098341,2.935713,,2230.019298,1.379999,,0
65,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-20 10:16:00.000 +0300,74.172706,2.580602,,2601.254152,1.249082,,0
66,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 06:12:00.000 +0300,74.172706,2.580602,,2601.254152,1.249082,,0
67,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 05:51:00.000 +0300,74.172706,2.580602,,2601.254152,1.249082,,0
68,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 08:50:00.000 +0300,66.521765,1.902225,,2561.250626,1.223094,,0
69,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 08:33:00.000 +0300,74.932381,3.014881,,2746.956312,1.268465,,0
70,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 08:33:00.000 +0300,74.932381,3.014881,,2746.956312,1.268465,,0
71,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 09:22:00.000 +0300,65.347136,2.927256,,2690.637296,1.223569,,0
72,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 09:11:00.000 +0300,72.804050,3.420075,,2598.106212,1.351397,,0
73,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 08:55:00.000 +0300,71.720813,1.615459,,2565.348216,1.247352,,0
74,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-21 11:04:00.000 +0300,71.777174,3.402917,,2630.882259,1.332698,,0
75,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-23 12:40:00.000 +0300,71.777174,3.402917,,2630.882259,1.332698,,0
76,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-23 12:16:00.000 +0300,71.777174,3.402917,,2630.882259,1.332698,,0
77,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-23 13:36:00.000 +0300,80.872575,2.590761,,2419.769979,1.408776,,0
78,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-27 13:11:00.000 +0300,80.872575,2.590761,,2419.769979,1.408776,,0
79,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-27 13:09:00.000 +0300,80.872575,2.590761,,2419.769979,1.408776,,0
80,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-27 15:20:00.000 +0300,71.233925,2.047293,,2596.800526,1.410202,,0
81,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 08:53:00.000 +0300,71.233925,2.047293,,2596.800526,1.410202,,0
82,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 08:44:00.000 +0300,71.233925,2.047293,,2596.800526,1.410202,,0
83,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 10:11:00.000 +0300,74.728577,2.126043,,2356.753119,1.440849,,0
84,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 11:02:00.000 +0300,74.728577,2.126043,,2356.753119,1.440849,,0
85,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 11:00:00.000 +0300,74.728577,2.126043,,2356.753119,1.440849,,0
86,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 14:04:00.000 +0300,71.231924,2.941677,,2410.482652,1.304794,,0
87,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 15:00:00.000 +0300,71.231924,2.941677,,2410.482652,1.304794,,0
88,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 14:37:00.000 +0300,71.231924,2.941677,,2410.482652,1.304794,,0
89,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-02-28 16:12:00.000 +0300,77.449924,2.477831,,2673.683807,1.488824,,0
90,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-04 21:46:00.000 +0300,77.449924,2.477831,,2673.683807,1.488824,,0
91,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-04 21:27:00.000 +0300,77.449924,2.477831,,2673.683807,1.488824,,0
92,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-04 22:42:00.000 +0300,64.497290,2.708829,,2562.400318,1.433520,,0
93,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 11:59:00.000 +0300,64.497290,2.708829,,2562.400318,1.433520,,0
94,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 11:51:00.000 +0300,64.497290,2.708829,,2562.400318,1.433520,,0
95,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 13:57:00.000 +0300,58.523816,2.150376,,1617.605918,1.271096,,0
96,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 13:52:00.000 +0300,67.017760,3.844883,,2650.314101,1.395036,,0
97,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 13:52:00.000 +0300,67.017760,3.844883,,2650.314101,1.395036,,0
98,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-10 14:50:00.000 +0300,72.074114,2.565855,,2623.487702,1.332766,,0
99,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-11 10:46:00.000 +0300,72.074114,2.565855,,2623.487702,1.332766,,0
100,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-11 10:42:00.000 +0300,72.074114,2.565855,,2623.487702,1.332766,,0
101,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-11 13:45:00.000 +0300,65.924500,2.398988,,2352.167812,1.279553,,0
102,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-17 20:22:00.000 +0300,65.924500,2.398988,,2352.167812,1.279553,,0
103,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-17 20:08:00.000 +0300,65.924500,2.398988,,2352.167812,1.279553,,0
104,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-17 22:47:00.000 +0300,64.659557,2.326278,,2693.520932,1.361504,,0
105,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 07:57:00.000 +0300,64.659557,2.326278,,2693.520932,1.361504,,0
106,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 07:32:00.000 +0300,64.659557,2.326278,,2693.520932,1.361504,,0
107,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 08:51:00.000 +0300,67.174757,2.750033,,2550.446053,1.168295,,0
108,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 08:18:00.000 +0300,70.320562,2.715593,,2401.110542,1.264163,,0
109,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 08:06:00.000 +0300,69.666354,1.894061,,2471.182666,1.250695,,0
110,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 10:12:00.000 +0300,73.153211,2.181561,,2444.349021,1.530870,,0
111,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 13:07:00.000 +0300,73.153211,2.181561,,2444.349021,1.530870,,0
112,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 12:44:00.000 +0300,73.153211,2.181561,,2444.349021,1.530870,,0
113,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 14:52:00.000 +0300,69.933754,2.323957,,2481.553098,1.365141,,0
114,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 14:04:00.000 +0300,71.971456,2.618186,,2372.993181,1.320307,,0
115,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 13:48:00.000 +0300,71.687955,2.315253,,2422.691720,1.288300,,0
116,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-19 14:58:00.000 +0300,77.965261,2.603048,,2492.785642,1.342331,,0
117,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-20 12:33:00.000 +0300,77.965261,2.603048,,2492.785642,1.342331,,0
118,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-20 12:27:00.000 +0300,77.965261,2.603048,,2492.785642,1.342331,,0
119,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-20 14:02:00.000 +0300,61.606751,2.351188,,2350.710621,1.279274,,0
120,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-22 17:30:00.000 +0300,61.606751,2.351188,,2350.710621,1.279274,,0
121,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-22 17:10:00.000 +0300,61.606751,2.351188,,2350.710621,1.279274,,0
122,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-22 19:43:00.000 +0300,75.553924,2.304690,,2317.012242,1.382576,,0
123,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-28 16:11:00.000 +0300,75.553924,2.304690,,2317.012242,1.382576,,0
124,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-28 16:06:00.000 +0300,75.553924,2.304690,,2317.012242,1.382576,,0
125,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-03-28 18:14:00.000 +0300,69.445217,3.570708,,2398.770273,1.279216,,0
126,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-02 14:01:00.000 +0300,69.445217,3.570708,,2398.770273,1.279216,,0
127,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-02 13:51:00.000 +0300,69.445217,3.570708,,2398.770273,1.279216,,0
128,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-02 16:02:00.000 +0300,68.619934,2.675482,,2602.470118,1.384592,,0
129,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-06 12:18:00.000 +0300,68.619934,2.675482,,2602.470118,1.384592,,0
130,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-06 12:03:00.000 +0300,68.619934,2.675482,,2602.470118,1.384592,,0
131,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-06 12:52:00.000 +0300,70.019626,2.316600,,2440.884365,1.350948,,0
132,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 15:50:00.000 +0300,70.019626,2.316600,,2440.884365,1.350948,,0
133,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 15:34:00.000 +0300,70.019626,2.316600,,2440.884365,1.350948,,0
134,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 16:56:00.000 +0300,74.565983,2.055040,,2520.908968,1.439725,,0
135,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 18:49:00.000 +0300,74.565983,2.055040,,2520.908968,1.439725,,0
136,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 18:36:00.000 +0300,74.565983,2.055040,,2520.908968,1.439725,,0
137,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 19:36:00.000 +0300,62.122178,2.849492,,1935.091738,1.114431,,0
138,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 19:31:00.000 +0300,70.289048,3.159060,,2496.207768,1.276214,,0
139,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 19:09:00.000 +0300,70.451485,3.171935,,2626.499096,1.161209,,0
140,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-11 21:47:00.000 +0300,66.919225,2.950376,,2522.436023,1.224802,,0
141,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-12 06:19:00.000 +0300,66.919225,2.950376,,2522.436023,1.224802,,0
142,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-12 06:05:00.000 +0300,66.919225,2.950376,,2522.436023,1.224802,,0
143,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-12 07:49:00.000 +0300,73.405153,2.731198,,2714.657623,1.439888,,0
144,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-16 07:59:00.000 +0300,73.405153,2.731198,,2714.657623,1.439888,,0
145,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-16 07:52:00.000 +0300,73.405153,2.731198,,2714.657623,1.439888,,0
146,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-16 09:19:00.000 +0300,64.058010,3.114161,,2454.135555,1.385851,,0
147,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-19 07:08:00.000 +0300,64.058010,3.114161,,2454.135555,1.385851,,0
148,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-19 06:54:00.000 +0300,64.058010,3.114161,,2454.135555,1.385851,,0
149,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-19 09:39:00.000 +0300,81.671800,2.296310,,2662.636728,1.369074,,0
150,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 14:38:00.000 +0300,81.671800,2.296310,,2662.636728,1.369074,,0
151,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 14:34:00.000 +0300,81.671800,2.296310,,2662.636728,1.369074,,0
152,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 15:21:00.000 +0300,75.957178,2.430956,,2571.818596,1.214330,,0
153,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 16:52:00.000 +0300,75.957178,2.430956,,2571.818596,1.214330,,0
154,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 16:45:00.000 +0300,75.957178,2.430956,,2571.818596,1.214330,,0
155,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 19:58:00.000 +0300,63.631137,2.572373,,2324.907139,1.502146,,0
156,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 21:40:00.000 +0300,63.631137,2.572373,,2324.907139,1.502146,,0
157,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 21:28:00.000 +0300,63.631137,2.572373,,2324.907139,1.502146,,0
158,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-24 23:54:00.000 +0300,81.410358,2.776085,,2266.471662,1.266784,,0
159,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-29 14:41:00.000 +0300,81.410358,2.776085,,2266.471662,1.266784,,0
160,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-29 14:37:00.000 +0300,81.410358,2.776085,,2266.471662,1.266784,,0
161,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-04-29 15:24:00.000 +0300,66.841662,2.679621,,2410.956532,1.308614,,0
162,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-03 07:29:00.000 +0300,66.841662,2.679621,,2410.956532,1.308614,,0
163,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-03 07:20:00.000 +0300,66.841662,2.679621,,2410.956532,1.308614,,0
164,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-03 09:08:00.000 +0300,71.703800,2.439950,,2824.197166,1.412653,,0
165,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 10:33:00.000 +0300,71.703800,2.439950,,2824.197166,1.412653,,0
166,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 10:21:00.000 +0300,71.703800,2.439950,,2824.197166,1.412653,,0
167,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 12:55:00.000 +0300,72.907351,1.233148,,2400.604525,1.342561,,0
168,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 15:29:00.000 +0300,72.907351,1.233148,,2400.604525,1.342561,,0
169,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 15:13:00.000 +0300,72.907351,1.233148,,2400.604525,1.342561,,0
170,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-06 18:06:00.000 +0300,61.474200,6.792878,,2292.614538,1.282563,,0
171,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 08:08:00.000 +0300,61.474200,6.792878,,2292.614538,1.282563,,0
172,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 08:01:00.000 +0300,61.474200,6.792878,,2292.614538,1.282563,,0
173,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 10:17:00.000 +0300,71.568333,2.056257,,1951.912292,1.085882,,0
174,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 10:12:00.000 +0300,58.186860,3.121094,,2252.926429,1.470272,,0
175,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 10:04:00.000 +0300,71.335854,2.888641,,2572.666907,1.327445,,0
176,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-08 11:25:00.000 +0300,64.129737,3.251911,,2476.872864,1.265846,,0
177,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 16:43:00.000 +0300,64.129737,3.251911,,2476.872864,1.265846,,0
178,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 16:37:00.000 +0300,64.129737,3.251911,,2476.872864,1.265846,,0
179,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 18:11:00.000 +0300,65.282058,1.531973,,2505.337301,1.449254,,0
180,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 19:39:00.000 +0300,65.282058,1.531973,,2505.337301,1.449254,,0
181,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 19:38:00.000 +0300,65.282058,1.531973,,2505.337301,1.449254,,0
182,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-14 21:50:00.000 +0300,72.360857,2.770298,,2465.597303,1.297571,,0
183,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-17 08:00:00.000 +0300,72.360857,2.770298,,2465.597303,1.297571,,0
184,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-17 07:58:00.000 +0300,72.360857,2.770298,,2465.597303,1.297571,,0
185,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-17 09:21:00.000 +0300,65.220343,3.500192,,2509.807838,1.449305,,0
186,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-21 10:50:00.000 +0300,65.220343,3.500192,,2509.807838,1.449305,,0
187,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-21 10:34:00.000 +0300,65.220343,3.500192,,2509.807838,1.449305,,0
188,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-21 12:06:00.000 +0300,70.002533,3.159596,,2522.898792,1.463070,,0
189,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-26 07:19:00.000 +0300,70.002533,3.159596,,2522.898792,1.463070,,0
190,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-26 07:04:00.000 +0300,70.002533,3.159596,,2522.898792,1.463070,,0
191,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-26 08:48:00.000 +0300,64.573703,2.543166,,2657.850762,1.258399,,0
192,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-28 09:08:00.000 +0300,64.573703,2.543166,,2657.850762,1.258399,,0
193,1,M-001-01,Фрезерный станок с ЧПУ №1,2025-05-28 08:58:00.000 +0300,64.573703,2.543166,,2657.850762,1.258399,,0
